message,category
Your Jio recharge of ₹4744 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Airtel: Recharge reminder! Your plan expires on 15-Oct-25. Renew to stay connected.,Recharge Offers
Jio: Recharge reminder! Your plan expires on 27-Oct-25. Renew to stay connected.,Recharge Offers
Airtel: Recharge of ₹2877 successful. Validity till 14-Oct-25. Enjoy unlimited data.,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 20-Oct-25. Renew to stay connected.,Recharge Offers
Recharge ₹2456 and get 5GB extra data. Valid for 17 days. – Airtel,Recharge Offers
Recharge ₹7327 and get 5GB extra data. Valid for 34 days. – Airtel,Recharge Offers
Recharge ₹16826 and get 10GB extra data. Valid for 16 days. – BSNL,Recharge Offers
Paytm Offer: Get 15% cashback on recharge above ₹258.,Recharge Offers
Your Airtel recharge of ₹4758 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Jio recharge of ₹1688 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Vi recharge of ₹11591 failed. Amount will be refunded in 24 hrs.,Recharge Offers
BSNL Offer: Get 18% cashback on recharge above ₹322.,Recharge Offers
Paytm Offer: Get 23% cashback on recharge above ₹125.,Recharge Offers
Recharge ₹17889 and get 2GB extra data. Valid for 61 days. – Paytm,Recharge Offers
BSNL Offer: Get 10% cashback on recharge above ₹381.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 20-Oct-25. Renew to stay connected.,Recharge Offers
BSNL Offer: Get 16% cashback on recharge above ₹484.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 18-Oct-25. Renew to stay connected.,Recharge Offers
Your Vi recharge of ₹3360 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹1036 and get 1GB extra data. Valid for 58 days. – Jio,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 20-Oct-25. Renew to stay connected.,Recharge Offers
Your Paytm recharge of ₹591 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Vi recharge of ₹10004 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Jio: Recharge reminder! Your plan expires on 21-Oct-25. Renew to stay connected.,Recharge Offers
Paytm: Recharge of ₹18987 successful. Validity till 15-Oct-25. Enjoy unlimited data.,Recharge Offers
Vi Offer: Get 5% cashback on recharge above ₹455.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 28-Oct-25. Renew to stay connected.,Recharge Offers
Recharge ₹15754 and get 10GB extra data. Valid for 24 days. – Vi,Recharge Offers
Vi: Recharge reminder! Your plan expires on 15-Oct-25. Renew to stay connected.,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 23-Oct-25. Renew to stay connected.,Recharge Offers
Jio: Recharge of ₹17109 successful. Validity till 22-Oct-25. Enjoy extra validity.,Recharge Offers
Your Paytm recharge of ₹3913 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹18440 and get 2GB extra data. Valid for 63 days. – Vi,Recharge Offers
Airtel: Recharge of ₹6338 successful. Validity till 27-Oct-25. Enjoy extra validity.,Recharge Offers
Your Vi recharge of ₹4322 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your BSNL recharge of ₹6199 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Paytm recharge of ₹3945 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹7428 and get 5GB extra data. Valid for 58 days. – Jio,Recharge Offers
Paytm Offer: Get 16% cashback on recharge above ₹324.,Recharge Offers
Vi: Recharge of ₹5896 successful. Validity till 15-Oct-25. Enjoy extra validity.,Recharge Offers
Airtel Offer: Get 10% cashback on recharge above ₹194.,Recharge Offers
Jio Offer: Get 18% cashback on recharge above ₹250.,Recharge Offers
Vi Offer: Get 9% cashback on recharge above ₹386.,Recharge Offers
Your Vi recharge of ₹1479 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Paytm recharge of ₹7227 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹17832 and get 10GB extra data. Valid for 60 days. – Paytm,Recharge Offers
Vi Offer: Get 10% cashback on recharge above ₹440.,Recharge Offers
Recharge ₹14880 and get 10GB extra data. Valid for 7 days. – Vi,Recharge Offers
Your Vi recharge of ₹699 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Jio Offer: Get 7% cashback on recharge above ₹174.,Recharge Offers
Airtel: Recharge reminder! Your plan expires on 15-Oct-25. Renew to stay connected.,Recharge Offers
Vi Offer: Get 13% cashback on recharge above ₹136.,Recharge Offers
BSNL Offer: Get 11% cashback on recharge above ₹252.,Recharge Offers
Your Jio recharge of ₹17276 failed. Amount will be refunded in 24 hrs.,Recharge Offers
BSNL: Recharge of ₹6733 successful. Validity till 15-Oct-25. Enjoy extra validity.,Recharge Offers
Recharge ₹12300 and get 2GB extra data. Valid for 44 days. – Paytm,Recharge Offers
Airtel: Recharge of ₹7723 successful. Validity till 16-Oct-25. Enjoy unlimited data.,Recharge Offers
Vi: Recharge of ₹2965 successful. Validity till 12-Oct-25. Enjoy unlimited data.,Recharge Offers
Recharge ₹1744 and get 2GB extra data. Valid for 64 days. – Vi,Recharge Offers
Paytm Offer: Get 9% cashback on recharge above ₹480.,Recharge Offers
Recharge ₹15740 and get 1GB extra data. Valid for 41 days. – Jio,Recharge Offers
Jio: Recharge of ₹5845 successful. Validity till 11-Oct-25. Enjoy free calls.,Recharge Offers
Recharge ₹11659 and get 5GB extra data. Valid for 17 days. – BSNL,Recharge Offers
Your Airtel recharge of ₹2404 failed. Amount will be refunded in 24 hrs.,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 10-Oct-25. Renew to stay connected.,Recharge Offers
Recharge ₹12303 and get 5GB extra data. Valid for 62 days. – BSNL,Recharge Offers
Paytm Offer: Get 25% cashback on recharge above ₹416.,Recharge Offers
Airtel: Recharge reminder! Your plan expires on 22-Oct-25. Renew to stay connected.,Recharge Offers
Recharge ₹6345 and get 5GB extra data. Valid for 66 days. – Vi,Recharge Offers
Your BSNL recharge of ₹6628 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹10380 and get 10GB extra data. Valid for 17 days. – BSNL,Recharge Offers
Your BSNL recharge of ₹12345 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Paytm Offer: Get 7% cashback on recharge above ₹104.,Recharge Offers
Recharge ₹11410 and get 10GB extra data. Valid for 11 days. – BSNL,Recharge Offers
Vi: Recharge reminder! Your plan expires on 13-Oct-25. Renew to stay connected.,Recharge Offers
Your Vi recharge of ₹16017 failed. Amount will be refunded in 24 hrs.,Recharge Offers
BSNL Offer: Get 25% cashback on recharge above ₹225.,Recharge Offers
Recharge ₹18390 and get 1GB extra data. Valid for 68 days. – Vi,Recharge Offers
Jio Offer: Get 23% cashback on recharge above ₹405.,Recharge Offers
Recharge ₹8274 and get 2GB extra data. Valid for 84 days. – Vi,Recharge Offers
BSNL: Recharge of ₹10577 successful. Validity till 28-Oct-25. Enjoy unlimited data.,Recharge Offers
Paytm: Recharge of ₹11521 successful. Validity till 23-Oct-25. Enjoy unlimited data.,Recharge Offers
Your BSNL recharge of ₹5225 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹2332 and get 1GB extra data. Valid for 51 days. – BSNL,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 22-Oct-25. Renew to stay connected.,Recharge Offers
BSNL: Recharge of ₹10145 successful. Validity till 14-Oct-25. Enjoy extra validity.,Recharge Offers
Jio: Recharge of ₹14544 successful. Validity till 21-Oct-25. Enjoy free calls.,Recharge Offers
BSNL: Recharge of ₹18839 successful. Validity till 11-Oct-25. Enjoy unlimited data.,Recharge Offers
Recharge ₹8755 and get 1GB extra data. Valid for 36 days. – Jio,Recharge Offers
Paytm Offer: Get 25% cashback on recharge above ₹449.,Recharge Offers
Recharge ₹5732 and get 5GB extra data. Valid for 8 days. – Jio,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 16-Oct-25. Renew to stay connected.,Recharge Offers
Jio: Recharge of ₹2363 successful. Validity till 27-Oct-25. Enjoy unlimited data.,Recharge Offers
Airtel Offer: Get 22% cashback on recharge above ₹294.,Recharge Offers
Your Airtel recharge of ₹19425 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Jio Offer: Get 10% cashback on recharge above ₹305.,Recharge Offers
Your BSNL recharge of ₹12732 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your BSNL recharge of ₹2161 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Airtel Offer: Get 16% cashback on recharge above ₹268.,Recharge Offers
Jio Offer: Get 24% cashback on recharge above ₹145.,Recharge Offers
Your BSNL recharge of ₹12629 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Paytm recharge of ₹3683 failed. Amount will be refunded in 24 hrs.,Recharge Offers
BSNL: Recharge of ₹16063 successful. Validity till 16-Oct-25. Enjoy extra validity.,Recharge Offers
Recharge ₹18506 and get 1GB extra data. Valid for 70 days. – BSNL,Recharge Offers
Your Jio recharge of ₹4905 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Jio: Recharge reminder! Your plan expires on 12-Oct-25. Renew to stay connected.,Recharge Offers
Vi: Recharge of ₹1375 successful. Validity till 14-Oct-25. Enjoy unlimited data.,Recharge Offers
Recharge ₹11589 and get 10GB extra data. Valid for 48 days. – Jio,Recharge Offers
Recharge ₹5165 and get 5GB extra data. Valid for 16 days. – Airtel,Recharge Offers
Your Paytm recharge of ₹7252 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹11295 and get 2GB extra data. Valid for 29 days. – Paytm,Recharge Offers
Airtel Offer: Get 11% cashback on recharge above ₹413.,Recharge Offers
BSNL: Recharge of ₹772 successful. Validity till 13-Oct-25. Enjoy free calls.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 26-Oct-25. Renew to stay connected.,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 28-Oct-25. Renew to stay connected.,Recharge Offers
Jio Offer: Get 19% cashback on recharge above ₹240.,Recharge Offers
Jio: Recharge of ₹8439 successful. Validity till 23-Oct-25. Enjoy free calls.,Recharge Offers
Jio: Recharge of ₹1718 successful. Validity till 23-Oct-25. Enjoy extra validity.,Recharge Offers
Jio Offer: Get 11% cashback on recharge above ₹120.,Recharge Offers
Your Jio recharge of ₹7186 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Airtel: Recharge of ₹16336 successful. Validity till 18-Oct-25. Enjoy free calls.,Recharge Offers
Recharge ₹11210 and get 5GB extra data. Valid for 90 days. – Vi,Recharge Offers
Recharge ₹10961 and get 2GB extra data. Valid for 64 days. – BSNL,Recharge Offers
Vi: Recharge reminder! Your plan expires on 11-Oct-25. Renew to stay connected.,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 24-Oct-25. Renew to stay connected.,Recharge Offers
Jio: Recharge of ₹9458 successful. Validity till 23-Oct-25. Enjoy free calls.,Recharge Offers
Your BSNL recharge of ₹11325 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹3550 and get 5GB extra data. Valid for 70 days. – Paytm,Recharge Offers
Airtel: Recharge reminder! Your plan expires on 24-Oct-25. Renew to stay connected.,Recharge Offers
Jio: Recharge of ₹1896 successful. Validity till 25-Oct-25. Enjoy free calls.,Recharge Offers
Recharge ₹6817 and get 5GB extra data. Valid for 44 days. – Paytm,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 10-Oct-25. Renew to stay connected.,Recharge Offers
BSNL: Recharge of ₹14348 successful. Validity till 10-Oct-25. Enjoy unlimited data.,Recharge Offers
BSNL Offer: Get 5% cashback on recharge above ₹128.,Recharge Offers
Recharge ₹5298 and get 2GB extra data. Valid for 18 days. – Airtel,Recharge Offers
Recharge ₹4449 and get 2GB extra data. Valid for 11 days. – Vi,Recharge Offers
Airtel: Recharge of ₹4478 successful. Validity till 22-Oct-25. Enjoy extra validity.,Recharge Offers
Jio: Recharge of ₹7029 successful. Validity till 11-Oct-25. Enjoy unlimited data.,Recharge Offers
Your BSNL recharge of ₹13091 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Airtel: Recharge reminder! Your plan expires on 12-Oct-25. Renew to stay connected.,Recharge Offers
Recharge ₹7640 and get 5GB extra data. Valid for 71 days. – Paytm,Recharge Offers
Vi: Recharge reminder! Your plan expires on 28-Oct-25. Renew to stay connected.,Recharge Offers
Your Paytm recharge of ₹1289 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Paytm recharge of ₹16943 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 11-Oct-25. Renew to stay connected.,Recharge Offers
Your Jio recharge of ₹5072 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Vi recharge of ₹16871 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Paytm Offer: Get 22% cashback on recharge above ₹352.,Recharge Offers
BSNL Offer: Get 25% cashback on recharge above ₹277.,Recharge Offers
Recharge ₹18702 and get 10GB extra data. Valid for 46 days. – BSNL,Recharge Offers
Vi: Recharge reminder! Your plan expires on 28-Oct-25. Renew to stay connected.,Recharge Offers
Vi Offer: Get 7% cashback on recharge above ₹429.,Recharge Offers
Your Vi recharge of ₹4454 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Paytm: Recharge of ₹18360 successful. Validity till 13-Oct-25. Enjoy extra validity.,Recharge Offers
Vi: Recharge reminder! Your plan expires on 25-Oct-25. Renew to stay connected.,Recharge Offers
Recharge ₹11248 and get 10GB extra data. Valid for 69 days. – BSNL,Recharge Offers
BSNL Offer: Get 14% cashback on recharge above ₹218.,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 27-Oct-25. Renew to stay connected.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 23-Oct-25. Renew to stay connected.,Recharge Offers
Your BSNL recharge of ₹3883 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹5606 and get 1GB extra data. Valid for 11 days. – Jio,Recharge Offers
Recharge ₹18472 and get 10GB extra data. Valid for 32 days. – Vi,Recharge Offers
Airtel: Recharge reminder! Your plan expires on 28-Oct-25. Renew to stay connected.,Recharge Offers
Jio: Recharge of ₹14639 successful. Validity till 14-Oct-25. Enjoy unlimited data.,Recharge Offers
Your Airtel recharge of ₹2187 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Vi recharge of ₹17925 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 24-Oct-25. Renew to stay connected.,Recharge Offers
